Trade #,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,9/23/2020 08:00,EXIT_LONG,44.2700,228.2063,10102.6928,102.69,0.10,116.39,0.12,-4.56,-0,102.69,0.10
1,Entry long,9/23/2020 07:30,BUY,43.8200,228.2063,10000,102.69,0.10,116.39,0.12,-4.56,-0,102.69,0.10
2,Exit long,9/24/2020 00:30,EXIT_LONG,43.3800,227.1963,9855.7758,-154.49,-0.15,6.82,0.01,-411.23,-0.41,-51.80,-0.05
2,Entry long,9/23/2020 18:30,BUY,44.0600,227.1963,10010.2693,-154.49,-0.15,6.82,0.01,-411.23,-0.41,-51.80,-0.05
3,Exit long,9/24/2020 00:30,EXIT_LONG,43.3800,227.8014,9882.0250,-125.29,-0.13,25.06,0.03,-382.71,-0.38,-177.09,-0.18
3,Entry long,9/23/2020 18:45,BUY,43.9300,227.8014,10007.3157,-125.29,-0.13,25.06,0.03,-382.71,-0.38,-177.09,-0.18
4,Exit long,9/24/2020 00:30,EXIT_LONG,43.3800,227.8533,9884.2750,-123.04,-0.12,22.79,0.02,-380.51,-0.38,-300.13,-0.30
4,Entry long,9/23/2020 19:00,BUY,43.9200,227.8533,10007.3157,-123.04,-0.12,22.79,0.02,-380.51,-0.38,-300.13,-0.30
5,Exit long,9/25/2020 07:15,EXIT_LONG,44.6300,225.3104,10055.6047,85.62,0.09,108.15,0.11,-20.28,-0.02,-214.51,-0.21
5,Entry long,9/25/2020 06:00,BUY,44.2500,225.3104,9969.9868,85.62,0.09,108.15,0.11,-20.28,-0.02,-214.51,-0.21
6,Exit long,9/25/2020 10:15,EXIT_LONG,44.3900,226.5278,10055.5680,77.02,0.08,111,0.11,-18.12,-0.02,-137.49,-0.14
6,Entry long,9/25/2020 08:45,BUY,44.0500,226.5278,9978.5486,77.02,0.08,111,0.11,-18.12,-0.02,-137.49,-0.14
7,Exit long,9/26/2020 09:45,EXIT_LONG,45.7800,219.7678,10060.9716,74.72,0.07,81.31,0.08,-17.58,-0.02,-62.77,-0.06
