Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USD,Net PnL %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %
1,Exit long,2020-09-22 02:15,EXIT_LONG,43.33,214.13,10002.0123,-723.76,-7.24,29.98,0.30,-1096.35,-10.96,-723.76,-0.72
1,Entry long,2020-09-21 16:45,BUY,46.71,214.13,10002.0123,-723.76,-7.24,29.98,0.30,-1096.35,-10.96,-723.76,-0.72
2,Exit long,2020-09-22 02:15,EXIT_LONG,43.33,215.96,9988.15,-630.6,-6.31,38.87,0.39,-1006.37,-10.08,-1354.36,-1.35
2,Entry long,2020-09-21 17:30,BUY,46.25,215.96,9988.15,-630.6,-6.31,38.87,0.39,-1006.37,-10.08,-1354.36,-1.35
3,Exit long,2020-09-22 02:15,EXIT_LONG,43.33,216.79,9978.8437,-585.33,-5.87,0,0.00,-962.55,-9.65,-1939.7,-1.94
3,Entry long,2020-09-21 17:45,BUY,46.03,216.79,9978.8437,-585.33,-5.87,0,0.00,-962.55,-9.65,-1939.7,-1.94
4,Exit long,2020-09-23 16:00,EXIT_LONG,44.27,223.77,9805.6014,100.7,1.03,102.93,1.05,-4.48,-0.05,-1839,-1.84
4,Entry long,2020-09-23 15:30,BUY,43.82,223.77,9805.6014,100.7,1.03,102.93,1.05,-4.48,-0.05,-1839,-1.84
5,Exit long,2020-09-24 08:30,EXIT_LONG,43.38,222.83,9817.8898,-151.52,-1.54,6.68,0.07,-403.32,-4.11,-1990.52,-1.99
5,Entry long,2020-09-24 02:30,BUY,44.06,222.83,9817.8898,-151.52,-1.54,6.68,0.07,-403.32,-4.11,-1990.52,-1.99
6,Exit long,2020-09-24 08:30,EXIT_LONG,43.38,223.38,9813.0834,-122.86,-1.25,24.57,0.25,-375.28,-3.82,-2113.38,-2.11
6,Entry long,2020-09-24 02:45,BUY,43.93,223.38,9813.0834,-122.86,-1.25,24.57,0.25,-375.28,-3.82,-2113.38,-2.11
7,Exit long,2020-09-24 08:30,EXIT_LONG,43.38,223.38,9810.8496,-120.63,-1.23,22.34,0.23,-373.04,-3.80,-2234.01,-2.23
7,Entry long,2020-09-24 03:00,BUY,43.92,223.38,9810.8496,-120.63,-1.23,22.34,0.23,-373.04,-3.80,-2234.01,-2.23
8,Exit long,2020-09-25 15:15,EXIT_LONG,44.63,220.99,9778.8075,83.98,0.86,88.4,0.90,-19.89,-0.20,-2150.03,-2.15
8,Entry long,2020-09-25 14:00,BUY,44.25,220.99,9778.8075,83.98,0.86,88.4,0.90,-19.89,-0.20,-2150.03,-2.15
9,Exit long,2020-09-25 18:15,EXIT_LONG,44.39,222.13,9784.8265,75.52,0.77,75.52,0.77,-17.77,-0.18,-2074.51,-2.07
9,Entry long,2020-09-25 16:45,BUY,44.05,222.13,9784.8265,75.52,0.77,75.52,0.77,-17.77,-0.18,-2074.51,-2.07
10,Exit long,2020-09-26 17:45,EXIT_LONG,45.78,215.5,9792.32,73.27,0.75,77.58,0.79,-17.24,-0.18,-2001.24,-2.00
10,Entry long,2020-09-26 15:45,BUY,45.44,215.5,9792.32,73.27,0.75,77.58,0.79,-17.24,-0.18,-2001.24,-2.00
11,Exit long,2020-09-26 17:45,EXIT_LONG,45.78,215.37,9790.7202,68.92,0.70,73.23,0.75,-21.54,-0.22,-1932.32,-1.93
11,Entry long,2020-09-26 16:00,BUY,45.46,215.37,9790.7202,68.92,0.70,73.23,0.75,-21.54,-0.22,-1932.32,-1.93
12,Exit long,2020-09-27 23:45,EXIT_LONG,45.7,214.82,9806.533,10.74,0.11,21.48,0.22,-234.15,-2.39,-1921.58,-1.92
12,Entry long,2020-09-27 14:45,BUY,45.65,214.82,9806.533,10.74,0.11,21.48,0.22,-234.15,-2.39,-1921.58,-1.92
13,Exit long,2020-09-27 23:45,EXIT_LONG,45.7,215.5,9798.785,49.57,0.51,60.34,0.62,-196.1,-2.00,-1872.01,-1.87
13,Entry long,2020-09-27 15:00,BUY,45.47,215.5,9798.785,49.57,0.51,60.34,0.62,-196.1,-2.00,-1872.01,-1.87
14,Exit long,2020-09-27 23:45,EXIT_LONG,45.7,215.17,9807.4486,25.82,0.26,36.58,0.37,-219.47,-2.24,-1846.19,-1.85
14,Entry long,2020-09-27 15:15,BUY,45.58,215.17,9807.4486,25.82,0.26,36.58,0.37,-219.47,-2.24,-1846.19,-1.85
15,Exit long,2020-09-29 10:15,EXIT_LONG,45.56,216,9817.2,23.76,0.24,60.48,0.62,-140.4,-1.43,-1822.43,-1.82
15,Entry long,2020-09-29 07:30,BUY,45.45,216,9817.2,23.76,0.24,60.48,0.62,-140.4,-1.43,-1822.43,-1.82
16,Exit long,2020-09-29 10:15,EXIT_LONG,45.56,216.64,9809.4592,60.66,0.62,97.49,0.99,-103.99,-1.06,-1761.77,-1.76
16,Entry long,2020-09-29 07:45,BUY,45.28,216.64,9809.4592,60.66,0.62,97.49,0.99,-103.99,-1.06,-1761.77,-1.76
17,Exit long,2020-09-29 22:00,EXIT_LONG,45.5,217.38,9823.4022,67.39,0.69,67.39,0.69,-23.91,-0.24,-1694.39,-1.69
17,Entry long,2020-09-29 21:15,BUY,45.19,217.38,9823.4022,67.39,0.69,67.39,0.69,-23.91,-0.24,-1694.39,-1.69
