

Performance Summary

,,,,
TradeStation Performance Summary,,,,
,,,,
,All Trades,Long Trades,Short Trades,
Total Net Profit,$54192.96,$7521.80,$46671.16,
Gross Profit,$357248.57,$100615.56,$256633.01,
Gross Loss,($303055.61),($93093.76),($209961.85),
Profit Factor,1.18,1.08,1.22,
,,,,
Roll Over Credit,$0.00,$0.00,$0.00,
Open Position P/L,$0.00,$0.00,$0.00,
,,,,
Select Total Net Profit,$54192.96,$7521.80,$46671.16,
Select Gross Profit,$357248.57,$100615.56,$256633.01,
Select Gross Loss,($303055.61),($93093.76),($209961.85),
Select Profit Factor,1.18,1.08,1.22,
,,,,
Adjusted Total Net Profit,$26804.56,($6153.32),$22768.59,
Adjusted Gross Profit,$340993.20,$92758.80,$242264.32,
Adjusted Gross Loss,($314188.64),($98912.12),($219495.73),
Adjusted Profit Factor,1.09,0.94,1.10,
,,,,
Total Number of Trades,1224,420,804,
Percent Profitable,39.46%,39.05%,39.68%,
Winning Trades,483,164,319,
Losing Trades,741,256,485,
Even Trades,0,0,0,
,,,,
Avg. Trade Net Profit,$44.28,$17.91,$58.05,
Avg. Winning Trade,$739.65,$613.51,$804.49,
Avg. Losing Trade,($408.98),($363.65),($432.91),
Ratio Avg. Win:Avg. Loss,1.81,1.69,1.86,
Largest Winning Trade,$2399.79,$2399.79,$2399.79,
Largest Losing Trade,($1220.21),($1200.21),($1220.21),
Largest Winner as % of Gross Profit,0.67%,2.39%,0.94%,
Largest Loser as % of Gross Loss,0.40%,1.29%,0.58%,
,,,,
Net Profit as % of Largest Loss,4441.28%,626.71%,3824.85%,
Select Net Profit as % of Largest Loss,4441.28%,626.71%,3824.85%,
Adjusted Net Profit as % of Largest Loss,2196.72%,-512.69%,1865.96%,
,,,,
Max. Consecutive Winning Trades,6,4,5,
Max. Consecutive Losing Trades,13,10,10,
Avg. Bars in Total Trades,5.14,5.24,5.09,
Avg. Bars in Winning Trades,7.42,7.72,7.27,
Avg. Bars in Losing Trades,3.66,3.66,3.66,
Avg. Bars in Even Trades,0.00,0.00,0.00,
,,,,
Max. Shares/Contracts Held,1,1,1,
Total Shares/Contracts Held,1224,420,804,
Account Size Required,$13886.96,$14174.15,$13302.26,
Total Slippage,$244.80,$84.00,$160.80,
Total Commission,$12.24,$4.20,$8.04,
,,,,
Return on Initial Capital,54.19%,,,
Annual Rate of Return,4.35%,,,
Buy & Hold Return,251.72%,,,
Return on Account,390.24%,,,
Avg. Monthly Return,$190.73,,,
Std. Deviation of Monthly Return,$2587.67,,,
,,,,
Return Retracement Ratio,1.33,,,
RINA Index,1726.31,,,
Sharpe Ratio,0.13,,,
K-Ratio,n/a,,,
,,,,
Trading Period,9 Years 11 Months 16 days 15 hours,,,
Percent of Time in the Market,9.54%,,,
Time in the Market,11 Months 12 days 8 hours,,,
Longest Flat Period,25 days 18 hours,,,
,,,,
Max. Equity Run-up,$59534.36,,,
Date of Max. Equity Run-up,6/27/2023 08:00,,,
Max Equity Run-up as % of Initial Capital,59.53%,,,
,,,,
Max. Drawdown (Intra-Day Peak to Valley),,,,
Value,($15790.11),($14584.15),($15552.68),
Date,3/1/2022 07:00,,,
as % of Initial Capital,15.79%,14.58%,15.55%,
Net Profit as % of Drawdown,343.21%,51.58%,300.08%,
Select Net Profit as % of Drawdown,343.21%,51.58%,300.08%,
Adjusted Net Profit as % of Drawdown,169.76%,-42.19%,146.40%,
,,,,
Max. Drawdown (Trade Close to Trade Close),,,,
Value,($13886.96),($14174.15),($13302.26),
Date,02/03/22 10:00,,,
as % of Initial Capital,13.89%,14.17%,13.30%,
Net Profit as % of Drawdown,390.24%,53.07%,350.85%,
Select Net Profit as % of Drawdown,390.24%,53.07%,350.85%,
Adjusted Net Profit as % of Drawdown,193.02%,-43.41%,171.16%,
,,,,
Max. Trade Drawdown,($1220.00),($1200.00),($1220.00),


Trade Analysis

,,,,
TradeStation Trade Analysis,,,,
,All Trades,Winners,Losers,
Total Number of Trades,1224,483,741,
Avg. Trade Net Profit,$44.28,$739.65,($408.98),
1 Std. Deviation of Avg. Trade,$764.75,$741.41,$295.31,
Avg. Trade + 1 Std. Deviation,$809.03,$1481.05,($113.68),
Avg. Trade - 1 Std. Deviation,($720.48),($1.76),($704.29),
Coefficient of Variation,1727.26%,100.24%,72.20%,
,,,,
Time Averages,,,,
Avg. Time in Trades,6 hours 48 Minutes,11 hours 37 Minutes,3 hours 40 Minutes,
Avg. Time Between Trades,2 days 13 hours 54 Minutes,6 days 18 hours 25 Minutes,4 days 13 hours 54 Minutes,
Avg. Time Between Trade Profit Peaks,101 days 2 hours 25 Minutes,,,
,,,,
Outliers,Total,Positive,Negative,
Number of Outliers,0,0,0,
Outlier Profit/Loss,$0.00,$0.00,$0.00,
,,,,
Run-up/Drawdown,,Run-up,Drawdown,
Max. Value,,$2400.00,($1220.00),
Max. Value Date,,8/8/2018,9/22/2019,
Avg. Value,,$673.23,($329.92),
1 Std. Deviation,,$660.06,$305.57,
Avg. + 1 Std. Deviation,,$1333.29,($24.35),
